ticker,cex,symbolToken,scToken,decToken,tickerPair,symbolPair,scPair,decPair,chain,modalCtD,modalDtC,minPnl
"ERA","gate","ERA_USDT","0xe2ad0bf751834f2fbdc62a41014f84d67ca1de2a","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FARM","binance","FARMUSDT","0xa0246c9032bc3a600820415ae600c6388619a14d","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FARM","gate","FARM_USDT","0xa0246c9032bc3a600820415ae600c6388619a14d","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FIRE","gate","FIRE_USDT","0xf921ae2dac5fa128dc0f6168bf153ea0943d2d43","8","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"FOURCOIN","gate","FOURCOIN_USDT","0x244b797d622d4dee8b188b03546acaabd0cf91a0","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"GAME2","gate","GAME2_USDT","0x825459139c897d769339f295e962396c4f9e4a4d","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"GOG","gate","GOG_USDT","0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"HEI","gate","HEI_USDT","0xf8f173e20e15f3b6cb686fb64724d370689de083","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"HMT","gate","HMT_USDT","0xd1ba9bac957322d6e8c07a160a3a8da11a0d2867","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"HSK","gate","HSK_USDT","0xe7c6bf469e97eeb0bfb74c8dbff5bd47d4c1c98a","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"HYPER","gate","HYPER_USDT","0x93a2db22b7c736b341c32ff666307f4a9ed910f5","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"KNC","binance","KNCUSDT","0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"KNC","gate","KNC_USDT","0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"KTN","gate","KTN_USDT","0x491e136ff7ff03e6ab097e54734697bb5802fc1c","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"LA","binance","LAUSDT","0x0fc2a55d5bd13033f1ee0cdd11f60f7efe66f467","18","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"LA","gate","LA_USDT","0x0fc2a55d5bd13033f1ee0cdd11f60f7efe66f467","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"LBLOCK","gate","LBLOCK_USDT","0x2b867efD2dE4Ad2B583Ca0CB3dF9C4040Ef4D329","9","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"LOOT","gate","LOOT_USDT","0x721A1B990699eE9D90b6327FaaD0A3E840aE8335","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"LUMIA","gate","LUMIA_USDT","0xD9343a049D5DBd89CD19DC6BcA8c48fB3a0a42a7","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"LVVA","gate","LVVA_USDT","0x6243558a24cc6116abe751f27e6d7ede50abfc76","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"NUX","gate","NUX_USDT","0x89bd2e7e388fab44ae88bef4e1ad12b4f1e0911c","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"OXY","gate","OXY_USDT","0x965697b4ef02f0de01384d0d4f9f782b1670c163","6","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"P00LS","gate","P00LS_USDT","0x881Ba05de1E78f549cC63a8f6Cabb1d4AD32250D","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"PIXEL","gate","PIXEL_USDT","0x3429d03c6F7521AeC737a0BBF2E5ddcef2C3Ae31","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"PSTAKE","gate","PSTAKE_USDT","0xfB5c6815cA3AC72Ce9F5006869AE67f18bF77006","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"QSP","gate","QSP_USDT","0x99ea4dB9EE77ACD40B119BD1dC4E33e1C070b80d","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"REN","indodax","renidr","0x408e41876cCCDC0F92210600ef50372656052a38","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"REN","gate","REN_USDT","0x408e41876cCCDC0F92210600ef50372656052a38","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"REP","indodax","repidr","0x221657776846890989a759ba2973e427dff5c9bb","18","ETH","ethidr","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"REP","gate","REP_USDT","0x221657776846890989a759ba2973e427dff5c9bb","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"SAFFRONFI","gate","SAFFRONFI_USDT","0xb753428af26e81097e7fd17f40c88aaa3e04902c","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"SGR","gate","SGR_USDT","0x478156DeAbfAc918369044D52A6BdB5Cc5597994","8","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"SOVRN","gate","SOVRN_USDT","0x031b8d752d73d7fe9678acef26e818280d0646b4","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"STBU","gate","STBU_USDT","0xa6422e3e219ee6d4c1b18895275fe43556fd50ed","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"TLM","binance","TLMUSDT","0x888888848b652b3e3a0f34c96e00eec0f3a23f72","4","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"TLM","gate","TLM_USDT","0x888888848b652b3e3a0f34c96e00eec0f3a23f72","4","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"TUNE","gate","TUNE_USDT","0x1Fac00CceE478eCeD6A120a50Ed2Ab28EE7FE32b","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"UNFI","gate","UNFI_USDT","0x441761326490cacf7af299725b6292597ee822c2","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"VALUE","gate","VALUE_USDT","0x49E833337ECe7aFE375e44F4E3e8481029218E5c","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"VGX","gate","VGX_USDT","0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d","8","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"VGX","mexc","VGXUSDT","0x3c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d","8","ETH","ETHUSDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"VINU","gate","VINU_USDT","0xAFCdd4f666c84Fed1d8BD825aA762e3714F652c9","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"WELL3","gate","WELL3_USDT","0x63696fc66795b51d02c1590b536484a41fbddf9a","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"XZK","gate","XZK_USDT","0xe8fc52b1bb3a40fd8889c0f8f75879676310ddf0","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ZETA","gate","ZETA_USDT","0xf091867ec603a6628ed83d274e835539d82e9cc8","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ZKL","gate","ZKL_USDT","0xfc385a1df85660a7e041423db512f779070fcede","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"ZND","gate","ZND_USDT","0x2d8ea194902bc55431420bd26be92b0782dce91d","18","ETH","ETH_USDT","0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2","18","ethereum","30","20","0.06"
"H","gate","H_USDT","0xcf5104d094e3864cfcbda43b82e1cefd26a016eb","18","USDT","","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","ethereum","30","20","0.06"
"PBX","gate","PBX_USDT","0xd528cf2e081f72908e086f8800977df826b5a483","18","USDT","","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","ethereum","30","20","0.06"
"SAHARA","binance","SAHARAUSDT","0xfdffb411c4a70aa7c95d5c981a6fb4da867e1111","18","USDT","","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","ethereum","30","20","0.06"
"SAHARA","gate","SAHARA_USDT","0xfdffb411c4a70aa7c95d5c981a6fb4da867e1111","18","USDT","","0xdAC17F958D2ee523a2206206994597C13D831ec7","6","ethereum","30","20","0.06"
"DOT","binance","DOTUSDT","0x7083609fce4d1d8dc0c979aab8c869ea2c873402","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
"XEC","binance","XECUSDT","0x0ef2e7602add1733bfdb17ac3094d0421b502ca3","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
"NFP","binance","NFPUSDT","0x551897f8203bd131b350601d3ac0679ba0fc0136","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","20","15","0.04"
